0,0,6.128832321
0,1,7.738270234
0,2,6.234192837
0,3,0.438472867
0,4,4.717845348
0,5,5.486978435
0,6,3.66924348
0,7,5.295923198
0,8,5.295923198
1,3,0.438472867
1,9,5.064121584
1,10,6.234192837
1,11,5.295923198
1,12,7.738270234
1,13,5.946510765
1,14,7.738270234
1,15,4.560216403
1,16,5.340374961
2,17,7.332805126
2,18,7.332805126
2,19,6.639657945
2,20,6.033522142
2,21,4.388366147
2,22,4.304283029
2,23,6.033522142
2,24,7.738270234
2,25,6.639657945
2,26,5.658828692
3,27,5.723367213
3,28,3.563882964
3,29,9.99486042
3,30,3.920557908
3,31,5.21254159
3,32,2.059805567
3,33,6.821979502
3,34,2.901988327
3,35,1.066237288
3,36,6.485507265
4,37,7.332805126
4,38,7.332805126
4,39,5.295923198
4,40,7.738270234
4,41,5.486978435
4,42,4.424084229
5,0,6.128832321
5,3,0.438472867
5,3,0.876945734
5,4,4.717845348
5,5,5.486978435
5,6,3.66924348
5,7,5.295923198
5,29,4.99743021
5,30,3.920557908
5,31,5.21254159
5,32,2.059805567
5,33,6.821979502
5,34,2.901988327
5,61,7.045123053
5,63,7.738270234
5,64,7.738270234
5,65,7.738270234
5,66,7.738270234
6,47,3.387992297
6,50,5.07402916
6,51,5.435685141
6,52,4.99743021
6,53,6.750343218
6,54,7.045123053
6,55,3.019771363
6,56,4.288282688
6,57,3.541068286
6,58,5.866468057
8,3,0.438472867
8,37,7.332805126
8,38,7.332805126
8,39,5.295923198
8,59,4.370974404
8,60,7.045123053
8,62,6.639657945
8,67,7.738270234
9,35,1.066237288
9,50,2.53701458
9,51,5.435685141
9,52,4.99743021
9,54,7.045123053
9,68,7.738270234
9,69,7.738270234
9,70,7.738270234
